ID,ID_episode,X,Y,VelX,VelY,Angle,AngularVel,ActionID,ResX,ResY,ResVelX,ResVelY,ResAngle,ResAngularVel,TotalReward
39,0,-0.11,1.21,-0.26,-0.53,0.08,-0.18,3,-0.11,1.2,-0.25,-0.56,0.07,-0.21,-103.42511437782834
40,0,-0.11,1.2,-0.25,-0.56,0.07,-0.21,1,-0.12,1.18,-0.26,-0.59,0.06,-0.18,-103.42511437782834
41,0,-0.12,1.18,-0.26,-0.59,0.06,-0.18,1,-0.12,1.17,-0.27,-0.62,0.05,-0.14,-103.42511437782834
42,0,-0.12,1.17,-0.27,-0.62,0.05,-0.14,3,-0.12,1.16,-0.26,-0.64,0.05,-0.18,-103.42511437782834
43,0,-0.12,1.16,-0.26,-0.64,0.05,-0.18,0,-0.12,1.14,-0.26,-0.67,0.04,-0.18,-103.42511437782834
44,0,-0.12,1.14,-0.26,-0.67,0.04,-0.18,0,-0.13,1.13,-0.26,-0.69,0.03,-0.18,-103.42511437782834
45,0,-0.13,1.13,-0.26,-0.69,0.03,-0.18,0,-0.13,1.11,-0.26,-0.72,0.02,-0.18,-103.42511437782834
46,0,-0.13,1.11,-0.26,-0.72,0.02,-0.18,1,-0.13,1.09,-0.27,-0.75,0.01,-0.13,-103.42511437782834
47,0,-0.13,1.09,-0.27,-0.75,0.01,-0.13,2,-0.13,1.08,-0.27,-0.72,0.01,-0.13,-103.42511437782834
48,0,-0.13,1.08,-0.27,-0.72,0.01,-0.13,1,-0.14,1.06,-0.28,-0.75,0.0,-0.1,-103.42511437782834
49,0,-0.14,1.06,-0.28,-0.75,0.0,-0.1,1,-0.14,1.04,-0.29,-0.77,-0.0,-0.06,-103.42511437782834
50,0,-0.14,1.04,-0.29,-0.77,-0.0,-0.06,1,-0.14,1.02,-0.3,-0.8,-0.0,-0.02,-103.42511437782834
51,0,-0.14,1.02,-0.3,-0.8,-0.0,-0.02,0,-0.15,1.01,-0.3,-0.83,-0.01,-0.02,-103.42511437782834
52,0,-0.15,1.01,-0.3,-0.83,-0.01,-0.02,2,-0.15,0.99,-0.31,-0.78,-0.01,-0.03,-103.42511437782834
53,0,-0.15,0.99,-0.31,-0.78,-0.01,-0.03,1,-0.15,0.97,-0.32,-0.81,-0.01,0.01,-103.42511437782834
54,0,-0.15,0.97,-0.32,-0.81,-0.01,0.01,1,-0.16,0.95,-0.33,-0.84,-0.0,0.05,-103.42511437782834
55,0,-0.16,0.95,-0.33,-0.84,-0.0,0.05,3,-0.16,0.93,-0.32,-0.86,-0.0,0.02,-103.42511437782834
56,0,-0.16,0.93,-0.32,-0.86,-0.0,0.02,0,-0.16,0.91,-0.32,-0.89,-0.0,0.02,-103.42511437782834
57,0,-0.16,0.91,-0.32,-0.89,-0.0,0.02,3,-0.17,0.89,-0.31,-0.92,-0.0,-0.02,-103.42511437782834
58,0,-0.17,0.89,-0.31,-0.92,-0.0,-0.02,1,-0.17,0.87,-0.32,-0.94,-0.0,0.02,-103.42511437782834
59,0,-0.17,0.87,-0.32,-0.94,-0.0,0.02,3,-0.17,0.85,-0.31,-0.97,-0.0,-0.02,-103.42511437782834
60,0,-0.17,0.85,-0.31,-0.97,-0.0,-0.02,0,-0.17,0.83,-0.31,-1.0,-0.0,-0.02,-103.42511437782834
61,0,-0.17,0.83,-0.31,-1.0,-0.0,-0.02,0,-0.18,0.8,-0.31,-1.02,-0.0,-0.02,-103.42511437782834
62,0,-0.18,0.8,-0.31,-1.02,-0.0,-0.02,0,-0.18,0.78,-0.31,-1.05,-0.0,-0.02,-103.42511437782834
63,0,-0.18,0.78,-0.31,-1.05,-0.0,-0.02,3,-0.18,0.75,-0.3,-1.08,-0.01,-0.06,-103.42511437782834
64,0,-0.18,0.75,-0.3,-1.08,-0.01,-0.06,2,-0.19,0.73,-0.28,-1.04,-0.01,-0.04,-103.42511437782834
65,0,-0.19,0.73,-0.28,-1.04,-0.01,-0.04,3,-0.19,0.71,-0.28,-1.06,-0.01,-0.08,-103.42511437782834
66,0,-0.19,0.71,-0.28,-1.06,-0.01,-0.08,0,-0.19,0.68,-0.28,-1.09,-0.02,-0.08,-103.42511437782834
67,0,-0.19,0.68,-0.28,-1.09,-0.02,-0.08,0,-0.2,0.66,-0.28,-1.12,-0.02,-0.08,-103.42511437782834
68,0,-0.2,0.66,-0.28,-1.12,-0.02,-0.08,1,-0.2,0.63,-0.29,-1.14,-0.02,-0.03,-103.42511437782834
69,0,-0.2,0.63,-0.29,-1.14,-0.02,-0.03,3,-0.2,0.61,-0.28,-1.17,-0.03,-0.07,-103.42511437782834
70,0,-0.2,0.61,-0.28,-1.17,-0.03,-0.07,3,-0.2,0.58,-0.27,-1.2,-0.03,-0.11,-103.42511437782834
71,0,-0.2,0.58,-0.27,-1.2,-0.03,-0.11,1,-0.21,0.55,-0.28,-1.22,-0.03,-0.07,-103.42511437782834
72,0,-0.21,0.55,-0.28,-1.22,-0.03,-0.07,2,-0.21,0.52,-0.27,-1.21,-0.04,-0.07,-103.42511437782834
73,0,-0.21,0.52,-0.27,-1.21,-0.04,-0.07,2,-0.21,0.5,-0.27,-1.17,-0.04,-0.07,-103.42511437782834
74,0,-0.21,0.5,-0.27,-1.17,-0.04,-0.07,0,-0.21,0.47,-0.27,-1.2,-0.05,-0.07,-103.42511437782834
75,0,-0.21,0.47,-0.27,-1.2,-0.05,-0.07,2,-0.22,0.44,-0.26,-1.18,-0.05,-0.06,-103.42511437782834
